Ano;Território;Modalidade de ensino;Taxa de retenção e desistência no ensino secunário, em todos os anos de escolaridade;Desemprego registado nos centros de emprego (para menores de 25 anos)
2009.0;Ferreira do Alentejo_Município;Cursos gerais;12.5;47.8
2009.0;Ferreira do Alentejo_Município;Cursos Tecnológicos e Profissionais;3.1;47.8
2009.0;Ferreira do Alentejo_Município;Total;5.7;47.8
2009.0;Ferreira do Zêzere_Município;Cursos gerais;24.4;55.8
2009.0;Ferreira do Zêzere_Município;Cursos Tecnológicos e Profissionais;16.7;55.8
2009.0;Ferreira do Zêzere_Município;Total;23.4;55.8
2009.0;Figueira da Foz_Município;Cursos gerais;20.3;461.8
2009.0;Figueira da Foz_Município;Cursos Tecnológicos e Profissionais;13.7;461.8
2009.0;Figueira da Foz_Município;Total;17.9;461.8
2009.0;Figueira de Castelo Rodrigo_Município;Cursos gerais;33.8;33.4
2009.0;Figueira de Castelo Rodrigo_Município;Cursos Tecnológicos e Profissionais;12.5;33.4
2009.0;Figueira de Castelo Rodrigo_Município;Total;25.4;33.4
2009.0;Figueiró dos Vinhos_Município;Cursos gerais;19.4;50.2
2009.0;Figueiró dos Vinhos_Município;Cursos Tecnológicos e Profissionais;17.5;50.2
2009.0;Figueiró dos Vinhos_Município;Total;18.9;50.2
2009.0;Fornos de Algodres_Município;Cursos gerais;18.5;29.3
2009.0;Fornos de Algodres_Município;Cursos Tecnológicos e Profissionais;20.5;29.3
2009.0;Fornos de Algodres_Município;Total;19.6;29.3
2009.0;Freixo de Espada à Cinta_Município;Cursos gerais;;38.6
2009.0;Freixo de Espada à Cinta_Município;Cursos Tecnológicos e Profissionais;;38.6
2009.0;Freixo de Espada à Cinta_Município;Total;;38.6
2009.0;Fronteira_Município;Cursos gerais;14.3;24.0
2009.0;Fronteira_Município;Cursos Tecnológicos e Profissionais;16.7;24.0
2009.0;Fronteira_Município;Total;16.0;24.0
2009.0;Funchal_Município;Cursos gerais;;
2009.0;Funchal_Município;Cursos Tecnológicos e Profissionais;;
2009.0;Funchal_Município;Total;;
2009.0;Fundão_Município;Cursos gerais;17.1;217.3
2009.0;Fundão_Município;Cursos Tecnológicos e Profissionais;7.7;217.3
2009.0;Fundão_Município;Total;12.8;217.3
2009.0;Gavião_Município;Cursos gerais;;25.7
2009.0;Gavião_Município;Cursos Tecnológicos e Profissionais;;25.7
2009.0;Gavião_Município;Total;;25.7
2009.0;Góis_Município;Cursos gerais;;24.4
2009.0;Góis_Município;Cursos Tecnológicos e Profissionais;;24.4
2009.0;Góis_Município;Total;;24.4
2009.0;Golegã_Município;Cursos gerais;24.2;31.3
2009.0;Golegã_Município;Cursos Tecnológicos e Profissionais;69.2;31.3
2009.0;Golegã_Município;Total;37.0;31.3
2009.0;Gondomar_Município;Cursos gerais;17.4;1345.1
2009.0;Gondomar_Município;Cursos Tecnológicos e Profissionais;13.7;1345.1
2009.0;Gondomar_Município;Total;16.4;1345.1
2009.0;Gouveia_Município;Cursos gerais;21.8;108.9
2009.0;Gouveia_Município;Cursos Tecnológicos e Profissionais;13.6;108.9
2009.0;Gouveia_Município;Total;17.2;108.9
2009.0;Grândola_Município;Cursos gerais;22.6;54.8
2009.0;Grândola_Município;Cursos Tecnológicos e Profissionais;6.9;54.8
2009.0;Grândola_Município;Total;15.4;54.8
2009.0;Guarda_Município;Cursos gerais;19.4;256.5
2009.0;Guarda_Município;Cursos Tecnológicos e Profissionais;13.1;256.5
2009.0;Guarda_Município;Total;17.4;256.5
2009.0;Guimarães_Município;Cursos gerais;21.3;1447.1
2009.0;Guimarães_Município;Cursos Tecnológicos e Profissionais;9.3;1447.1
2009.0;Guimarães_Município;Total;17.0;1447.1
2009.0;Horta_Município;Cursos gerais;;
2009.0;Horta_Município;Cursos Tecnológicos e Profissionais;;
2009.0;Horta_Município;Total;;
2009.0;Idanha-a-Nova_Município;Cursos gerais;32.2;38.6
2009.0;Idanha-a-Nova_Município;Cursos Tecnológicos e Profissionais;7.9;38.6
2009.0;Idanha-a-Nova_Município;Total;17.5;38.6
2009.0;Ílhavo_Município;Cursos gerais;21.7;268.6
2009.0;Ílhavo_Município;Cursos Tecnológicos e Profissionais;19.9;268.6
2009.0;Ílhavo_Município;Total;21.0;268.6
2009.0;Lagoa_Município;Cursos gerais;21.3;156.3
2009.0;Lagoa_Município;Cursos Tecnológicos e Profissionais;25.8;156.3
2009.0;Lagoa_Município;Total;23.0;156.3
2009.0;Lagoa [R.A.A.]_Município;Cursos gerais;;
2009.0;Lagoa [R.A.A.]_Município;Cursos Tecnológicos e Profissionais;;
2009.0;Lagoa [R.A.A.]_Município;Total;;
2009.0;Lagos_Município;Cursos gerais;22.9;243.7
2009.0;Lagos_Município;Cursos Tecnológicos e Profissionais;16.3;243.7
2009.0;Lagos_Município;Total;20.4;243.7
2009.0;Lajes das Flores_Município;Cursos gerais;;
2009.0;Lajes das Flores_Município;Cursos Tecnológicos e Profissionais;;
2009.0;Lajes das Flores_Município;Total;;
2009.0;Lajes do Pico_Município;Cursos gerais;;
2009.0;Lajes do Pico_Município;Cursos Tecnológicos e Profissionais;;
2009.0;Lajes do Pico_Município;Total;;
2009.0;Lamego_Município;Cursos gerais;18.7;247.9
2009.0;Lamego_Município;Cursos Tecnológicos e Profissionais;7.4;247.9
2009.0;Lamego_Município;Total;14.8;247.9
2009.0;Leiria_Município;Cursos gerais;17.9;623.8
2009.0;Leiria_Município;Cursos Tecnológicos e Profissionais;15.5;623.8
2009.0;Leiria_Município;Total;17.1;623.8
2009.0;Lisboa_Município;Cursos gerais;19.5;2200.0
2009.0;Lisboa_Município;Cursos Tecnológicos e Profissionais;16.1;2200.0
2009.0;Lisboa_Município;Total;18.2;2200.0
2009.0;Loulé_Município;Cursos gerais;24.6;362.3
2009.0;Loulé_Município;Cursos Tecnológicos e Profissionais;17.8;362.3
2009.0;Loulé_Município;Total;22.2;362.3
2009.0;Loures_Município;Cursos gerais;24.1;790.8
2009.0;Loures_Município;Cursos Tecnológicos e Profissionais;21.2;790.8
2009.0;Loures_Município;Total;23.4;790.8
2009.0;Lourinhã_Município;Cursos gerais;18.1;173.4
2009.0;Lourinhã_Município;Cursos Tecnológicos e Profissionais;11.1;173.4
